task_name 	arch	circuit	script_params	vpr_status	total_wirelength	total_runtime	num_clb	min_chan_width	crit_path_delay	
strong_target_pin_util	EArch.xml	styr.blif	common	exited with return code 1	-1	0.07	-1	-1	-1	
strong_tight_floorplan	k6_frac_N10_40nm.xml	bigkey.blif	common	success	11385	8.03	149	-1	-1	
strong_timing	k6_frac_N10_mem32K_40nm.xml	ch_intrinsics.v	common	success	1369	2.21	68	40	-1	
strong_timing_report_detail	k6_frac_N10_frac_chain_mem32K_40nm.xml	multiclock.blif	common	success	25	0.23	2	20	-1	
strong_timing_report_detail	k6_frac_N10_frac_chain_mem32K_40nm.xml	multiclock.blif	common	success	25	0.23	2	20	-1	
strong_timing_report_detail	k6_frac_N10_frac_chain_mem32K_40nm.xml	multiclock.blif	common	success	25	0.23	2	20	-1	
strong_timing_update_diff	k6_frac_N10_frac_chain_mem32K_40nm.xml	stereovision3.v	common	success	278	0.60	15	-1	-1	
strong_timing_update_type	k6_N10_mem32K_40nm.xml	stereovision3.v	common	success	137	0.30	12	-1	-1	
strong_timing_update_type	k6_N10_mem32K_40nm.xml	stereovision3.v	common	success	137	0.30	12	-1	-1	
strong_timing_update_type	k6_N10_mem32K_40nm.xml	stereovision3.v	common	success	137	0.29	12	-1	-1	
strong_timing_update_type	k6_N10_mem32K_40nm.xml	stereovision3.v	common	success	137	0.32	12	-1	-1	
strong_titan	stratixiv_arch.timing.xml	ucsb_152_tap_fir_stratixiv_arch_timing.blif	common	success	80255	93.48	-1	-1	-1	
strong_two_chains	k6_frac_N10_4add_2chains_depop50_mem20K_22nm.xml	diffeq2.v	common	success	12753	14.85	20	60	-1	
strong_unroute_analysis	k6_N10_mem32K_40nm.xml	traffic.blif	common	success	75	0.20	3	-1	-1	
strong_unroute_analysis	k6_N10_mem32K_40nm.xml	traffic.blif	common	success	75	0.20	3	-1	-1	
strong_unroute_analysis	k6_N10_mem32K_40nm.xml	traffic.blif	common	exited with return code 2	-1	0.32	3	-1	-1	
strong_unroute_analysis	k6_N10_mem32K_40nm.xml	traffic.blif	common	exited with return code 2	131	0.32	3	-1	-1	
strong_verify_rr_graph	k4_N4_90nm.xml	stereovision3.v	common	success	-1	-1	-1	-1	-1	
strong_verify_rr_graph	k6_frac_N10_40nm.xml	stereovision3.v	common	success	-1	-1	-1	-1	-1	
strong_verify_rr_graph_bin	k4_N4_90nm.xml	stereovision3.v	common	success	-1	-1	-1	-1	-1	
strong_verify_rr_graph_bin	k6_frac_N10_40nm.xml	stereovision3.v	common	success	-1	-1	-1	-1	-1	
strong_verify_rr_graph_titan	stratixiv_arch.timing.xml	styr.blif	common	success	-1	-1	-1	-1	-1	
koios	k6FracN10LB_mem20K_complexDSP_customSB_22nm.xml	test.v	common	success	3380	6.03	12	82	-1	
koios_no_complex_dsp	k6FracN10LB_mem20K_complexDSP_customSB_22nm.xml	test.v	common	success	5854	7.77	23	88	-1	
strong_timing_fail	k6_frac_N10_mem32K_40nm.xml	ch_intrinsics.v	common	exited with return code 1	1441	3.03	68	42	-1	
strong_timing_no_fail	k6_frac_N10_mem32K_40nm.xml	ch_intrinsics.v	common	success	1510	2.73	68	42	-1	
